t,u,y,r
22368,-551.8806762695312,-795.841552734375,-806.8505859375
22367,-559.9089965820312,-796.450927734375,-806.8505859375
34575,-659.9089965820312,-797.0250244140625,-989.1832275390625
42802,-759.9089965820312,-797.5614013671875,-989.1832275390625
80330,-791.8465576171875,-825.32080078125,-989.1832275390625
41107,-782.7781372070312,-879.41845703125,-989.1832275390625
43793,-686.0359497070312,-938.6471557617188,-989.1832275390625
22375,-623.3455810546875,-990.3224487304688,-989.1832275390625
22359,-618.9290771484375,-1008.3796997070312,-989.1832275390625
22386,-634.0335693359375,-1003.7286987304688,-989.1832275390625
22358,-652.9925537109375,-994.3541870117188,-989.1832275390625
22351,-670.4710693359375,-986.3495483398438,-989.1832275390625
22350,-685.3680419921875,-980.9984130859375,-989.1832275390625
22351,-697.9588623046875,-977.9444580078125,-989.1832275390625
22355,-708.8568115234375,-976.4899291992188,-989.1832275390625
22360,-718.6082763671875,-976.0185546875,-989.1832275390625
22347,-727.5799560546875,-976.099365234375,-989.1832275390625
22321,-736.0262451171875,-976.4662475585938,-989.1832275390625
22353,-744.0645751953125,-976.9630737304688,-989.1832275390625
22326,-751.8123779296875,-977.5090942382812,-989.1832275390625
22320,-759.2689208984375,-978.0574951171875,-989.1832275390625
22328,-766.4803466796875,-978.5949096679688,-989.1832275390625
34469,-666.4803466796875,-979.1058349609375,-702.663818359375
74519,-566.4803466796875,-979.586669921875,-702.663818359375
70593,-581.6505737304688,-948.4138793945312,-702.663818359375
41091,-602.1666259765625,-886.7633056640625,-702.663818359375
41144,-620.8388671875,-830.0811157226562,-702.663818359375
41104,-637.282958984375,-780.3549194335938,-702.663818359375
43865,-662.515380859375,-737.3158569335938,-702.663818359375
22259,-762.102294921875,-700.5142822265625,-702.663818359375
22341,-785.0103759765625,-672.701171875,-702.663818359375
22327,-780.8726806640625,-675.8458251953125,-702.663818359375
22301,-770.1790771484375,-686.4152221679688,-702.663818359375
22302,-760.2254638671875,-696.1022338867188,-702.663818359375
22310,-752.7684326171875,-702.8862915039062,-702.663818359375
22266,-747.6483764648438,-706.9856567382812,-702.663818359375
22237,-744.2236938476562,-709.1583862304688,-702.663818359375
22237,-741.880615234375,-710.1140747070312,-702.663818359375
22266,-740.1951293945312,-710.3658447265625,-702.663818359375
22332,-738.86279296875,-710.2386474609375,-702.663818359375
22318,-737.72265625,-709.9275512695312,-702.663818359375
22300,-736.70556640625,-709.5342407226562,-702.663818359375
66601,-636.7056274414062,-709.1112670898438,-19.97088623046875
48262,-536.70556640625,-708.6897583007812,-19.97088623046875
72277,-436.70550537109375,-679.0055541992188,-19.97088623046875
42796,-336.70550537109375,-621.080810546875,-19.97088623046875
80381,-309.0564270019531,-536.1520385742188,-19.97088623046875
41073,-337.2451171875,-425.6457824707031,-19.97088623046875
41071,-361.45703125,-312.53961181640625,-19.97088623046875
41071,-381.1064453125,-214.31871032714844,-19.97088623046875
41077,-396.00531005859375,-130.16668701171875,-19.97088623046875
55959,-496.00531005859375,-58.96645736694336,-19.97088623046875
79864,-581.2513427734375,0.559380054473877,-19.97088623046875
41067,-570.8145751953125,23.21391487121582,-19.97088623046875
41095,-557.6875,14.316001892089844,-19.97088623046875
41066,-542.8524780273438,3.2455568313598633,-19.97088623046875
41060,-527.06201171875,-8.86710262298584,-19.97088623046875
41095,-510.8815612792969,-21.211660385131836,-19.97088623046875
43897,-488.7702331542969,-33.22861099243164,-19.97088623046875
22326,-449.1950378417969,-44.55208206176758,-19.97088623046875
22299,-427.0802917480469,-53.2026252746582,-19.97088623046875
22306,-412.3717956542969,-53.87544250488281,-19.97088623046875
66629,-512.3717651367188,-51.80592346191406,-702.2876586914062
48345,-612.371826171875,-49.148590087890625,-702.2876586914062
72268,-712.371826171875,-79.72744750976562,-702.2876586914062
80424,-766.9169311523438,-142.2802276611328,-702.2876586914062
41108,-728.6415405273438,-235.3080596923828,-702.2876586914062
41113,-693.8927612304688,-343.6678161621094,-702.2876586914062
41106,-663.4141235351562,-438.50799560546875,-702.2876586914062
41076,-637.5271606445312,-520.3673706054688,-702.2876586914062
41086,-616.2532958984375,-590.13330078125,-702.2876586914062
41147,-599.4085083007812,-648.8950805664062,-702.2876586914062
56073,-499.40850830078125,-697.8363037109375,-702.2876586914062
45317,-412.5234375,-738.1571044921875,-702.2876586914062
22417,-430.943359375,-745.2252197265625,-702.2876586914062
22398,-456.4169921875,-723.8155517578125,-702.2876586914062
22383,-478.62744140625,-706.0784912109375,-702.2876586914062
22370,-495.62158203125,-694.2359619140625,-702.2876586914062
22363,-508.18603515625,-687.3419189453125,-702.2876586914062
22386,-517.638916015625,-683.8485717773438,-702.2876586914062
22356,-525.113525390625,-682.4471435546875,-702.2876586914062
22384,-531.38720703125,-682.2316284179688,-702.2876586914062
66645,-431.38739013671875,-682.641845703125,815.6639404296875
48333,-331.3873291015625,-683.3549194335938,815.6639404296875
48340,-231.3872833251953,-652.9938354492188,815.6639404296875
48295,-131.38723754882812,-592.6926879882812,815.6639404296875
48303,-31.387191772460938,-503.8101806640625,815.6639404296875
48268,68.61285400390625,-387.9028625488281,815.6639404296875
72239,168.61288452148438,-246.6988525390625,815.6639404296875
80355,203.48101806640625,-82.07087707519531,815.6639404296875
41114,153.98289489746094,103.99020385742188,815.6639404296875
41098,112.79055786132812,290.1492919921875,815.6639404296875
41052,80.40441131591797,449.9956970214844,815.6639404296875
41058,56.76319122314453,585.4866333007812,815.6639404296875
41075,41.42656707763672,698.9300537109375,815.6639404296875
56067,-58.57343292236328,792.7806396484375,815.6639404296875
80200,-136.16380310058594,869.49462890625,815.6639404296875
41102,-118.8451156616211,904.1517333984375,815.6639404296875
